CaseNumber,Location,Reported Date,Month,Year,Offense Desc,Statute Code,Statute Desc,Counts,Reporting Officer
2024-00035693,0 Block KENNEDY PLZ,05/10/2024 03:35:00 PM,5,2024,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,4,DAnderson
2024-00036163,0 Block KENNEDY PLZ,05/12/2024 12:16:00 AM,5,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,NEastman
2024-00036379,0 Block KENNEDY PLZ,05/12/2024 07:22:00 PM,5,2024,RI Statute Violation,11-1-6,CONSPIRACY - ALL OTH OFFENSE,2,CSimanski
2024-00036379,0 Block KENNEDY PLZ,05/12/2024 07:22:00 PM,5,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,2,CSimanski
2024-00036379,0 Block KENNEDY PLZ,05/12/2024 07:22:00 PM,5,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,CSimanski
2024-00037507,0 Block KENNEDY PLZ,05/16/2024 03:07:00 PM,5,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,DAnderson
2024-00037764,0 Block KENNEDY PLZ,05/17/2024 11:57:00 AM,5,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,ADiaz
2024-00039619,0 Block KENNEDY PLZ,05/23/2024 06:13:43 AM,5,2024,"Larceny, Purse-snatching",11-41-7,LARCENY FROM THE PERSON - PURSE SNATCHING,1,ADzialo
2024-00046700,0 Block KENNEDY PLZ,06/12/2024 04:30:00 PM,6,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,DAnderson
2024-00049169,0 Block KENNEDY PLZ,06/19/2024 03:20:00 PM,6,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,GGenao
2024-00049169,0 Block KENNEDY PLZ,06/19/2024 03:20:00 PM,6,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,GGenao
2024-00049169,0 Block KENNEDY PLZ,06/19/2024 03:20:00 PM,6,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,GGenao
2024-00050687,0 Block KENNEDY PLZ,06/24/2024 08:20:00 AM,6,2024,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,YCaba
2024-00051381,0 Block KENNEDY PLZ,06/26/2024 12:00:00 PM,6,2024,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,SMurnighan
2024-00051381,0 Block KENNEDY PLZ,06/26/2024 12:00:00 PM,6,2024,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,SMurnighan
2024-00051381,0 Block KENNEDY PLZ,06/26/2024 12:00:00 PM,6,2024,"Assault, Simple",11-5-5,ASSAULT OF POLICE OFFICERS AND OTHER OFFICIALS - MINOR INJURY,1,SMurnighan
2024-00071395,0 Block KENNEDY PLZ,08/29/2024 11:37:54 PM,8,2024,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,CNicholls
2024-00071409,0 Block KENNEDY PLZ,08/30/2024 12:16:10 AM,8,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,CNicholls
2024-00072513,0 Block KENNEDY PLZ,09/02/2024 04:09:00 AM,9,2024,Robbery,11-39-1,ROBBERY-2ND DEGREE,1,JLeroux
2024-00072531,0 Block KENNEDY PLZ,09/02/2024 07:08:00 AM,9,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,2,MMarwell
2024-00072580,0 Block KENNEDY PLZ,09/02/2024 12:09:00 PM,9,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,TJones
2024-00072961,0 Block KENNEDY PLZ,09/03/2024 05:34:00 PM,9,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,JManown
2024-00064083,0 Block KENNEDY PLZ,08/06/2024 07:16:00 AM,8,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,MRousseau
2024-00064390,0 Block KENNEDY PLZ,08/07/2024 12:17:00 PM,8,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,MVoyer
2024-00064390,0 Block KENNEDY PLZ,08/07/2024 12:17:00 PM,8,2024,RI Statute Violation,21-28-4.08,CONTROLLED SUBSTANCE CONSPIRACY,1,MVoyer
2024-00064141,0 Block KENNEDY PLZ,08/06/2024 12:55:00 PM,8,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,MVoyer
2024-00064139,0 Block KENNEDY PLZ,08/06/2024 12:54:00 PM,8,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,MVoyer
2024-00064609,0 Block KENNEDY PLZ,08/08/2024 08:35:00 AM,8,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,MVoyer
2024-00064605,0 Block KENNEDY PLZ,08/08/2024 08:26:00 AM,8,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,ECuri
2024-00064690,0 Block KENNEDY PLZ,08/08/2024 01:18:00 PM,8,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,MVoyer
2024-00064690,0 Block KENNEDY PLZ,08/08/2024 01:18:00 PM,8,2024,RI Statute Violation,21-28-4.08,CONTROLLED SUBSTANCE CONSPIRACY,1,MVoyer
2024-00064892,0 Block KENNEDY PLZ,08/09/2024 07:52:00 AM,8,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,ECuri
2024-00066187,0 Block KENNEDY PLZ,08/13/2024 08:34:00 AM,8,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,KRosado
2024-00066188,0 Block KENNEDY PLZ,08/13/2024 08:36:00 AM,8,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,MRousseau
2024-00066279,0 Block KENNEDY PLZ,08/13/2024 01:35:00 PM,8,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,MVoyer
2024-00066516,0 Block KENNEDY PLZ,08/14/2024 07:29:00 AM,8,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,KRosado
2024-00066516,0 Block KENNEDY PLZ,08/14/2024 07:29:00 AM,8,2024,RI Statute Violation,21-28-4.08,CONTROLLED SUBSTANCE CONSPIRACY,1,KRosado
2024-00066281,0 Block KENNEDY PLZ,08/13/2024 01:41:00 PM,8,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,ECuri
2024-00066824,0 Block KENNEDY PLZ,08/15/2024 07:35:00 AM,8,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,MRousseau
2024-00066579,0 Block KENNEDY PLZ,08/14/2024 12:39:00 PM,8,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,KRosado
2024-00066279,0 Block KENNEDY PLZ,08/13/2024 01:35:00 PM,8,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2,MVoyer
2024-00066281,0 Block KENNEDY PLZ,08/13/2024 01:41:00 PM,8,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,ECuri
2024-00074195,0 Block KENNEDY PLZ,09/07/2024 01:28:00 PM,9,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,ACalle
2024-00064139,0 Block KENNEDY PLZ,08/06/2024 12:54:00 PM,8,2024,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,MVoyer
2024-00064139,0 Block KENNEDY PLZ,08/06/2024 12:54:00 PM,8,2024,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,MVoyer
2024-00064083,0 Block KENNEDY PLZ,08/06/2024 07:16:00 AM,8,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,MRousseau
2024-00066824,0 Block KENNEDY PLZ,08/15/2024 07:35:00 AM,8,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,3,MRousseau
2024-00077148,0 Block KENNEDY PLZ,09/16/2024 09:15:00 AM,9,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,AFrias
2024-00077252,0 Block KENNEDY PLZ,09/16/2024 03:15:00 PM,9,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,JManown
2024-00077252,0 Block KENNEDY PLZ,09/16/2024 03:15:00 PM,9,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,JManown
2024-00066692,0 Block KENNEDY PLZ,08/14/2024 07:40:00 PM,8,2024,"Assault, Aggravated",11-5-1,ASSAULT W/ INTENT TO COMMIT A FELONY,1,CSimanski
2024-00082193,0 Block KENNEDY PLZ,10/02/2024 12:06:00 PM,10,2024,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,MLeclerc
2024-00082193,0 Block KENNEDY PLZ,10/02/2024 12:06:00 PM,10,2024,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,MLeclerc
2024-00084672,0 Block KENNEDY PLZ,10/10/2024 11:35:00 AM,10,2024,Drug Offenses,21-28-4.01-C2-(iii),POSSESSION OF MARIJUANA 1OZ OR LESS OVER 18 YEARS OF AGE,1,CVieira
2024-00084672,0 Block KENNEDY PLZ,10/10/2024 11:35:00 AM,10,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,CVieira
2024-00085991,0 Block KENNEDY PLZ,10/14/2024 06:56:27 PM,10,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,MLombardi
2024-00085991,0 Block KENNEDY PLZ,10/14/2024 06:56:27 PM,10,2024,RI Statute Violation,8-8.1-3,PROTECTIVE ORDERS,1,MLombardi
2024-00088019,0 Block KENNEDY PLZ,10/21/2024 10:29:42 AM,10,2024,"Assault, Simple",11-5-10,ASSLT ON PERSONS OVER 60 CAUSING BODILY INJURY,1,AElie
2024-00088019,0 Block KENNEDY PLZ,10/21/2024 10:29:42 AM,10,2024,"Larceny, Pickpocketing",11-41-7,LARCENY FROM THE PERSON - POCKET PICKING,1,AElie
2024-00088166,0 Block KENNEDY PLZ,10/21/2024 05:55:00 PM,10,2024,Traffic Violation,31-9-1,Driving Without Consent of Owner,1,NULL
2024-00050827,100 Block N MAIN ST,06/24/2024 04:56:00 PM,6,2024,Request for Assistance,Not Used,No violations,0,LPelaez
2024-00040052,100 Block BROAD ST,05/24/2024 03:04:00 PM,5,2024,Request for Assistance,Not Used,No violations,0,Central Station
2024-00038641,100 Block BROAD ST,05/20/2024 10:36:00 AM,5,2024,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2024-00035624,100 Block BROAD ST,05/10/2024 10:52:00 AM,5,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,Central Station
2024-00060215,100 Block BROAD ST,07/24/2024 12:42:00 AM,7,2024,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,DForte
2024-00060215,100 Block BROAD ST,07/24/2024 12:42:00 AM,7,2024,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,DForte
2024-00060215,100 Block BROAD ST,07/24/2024 12:42:00 AM,7,2024,Drug Offenses,21-28-4.01.1-A1,MANUFAC/POSS/DELIVER HEROIN-1OZ-1KG,1,DForte
2024-00088131,100 Block BROAD ST,10/21/2024 04:21:00 PM,10,2024,Larceny from Building,11-41-1,LARCENY/U $11000 - FROM BLD,1,Central Station
2024-00085421,100 Block BROAD ST,10/12/2024 06:08:41 PM,10,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,AValdez
2024-00052465,0 Block WOODSIDE RD,06/29/2024 11:24:36 PM,6,2024,"Larceny, Other",11-44-2,MALICIOUS INJURY-BUILDINGS/FENCES/VEGATATION - ALL OTH LARCENY,1,SSage
2024-00078146,100 Block HARTFORD AVE,09/19/2024 11:44:00 AM,9,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/O $11000 - FROM MV,1,LQuinilla
2024-00036864,200 Block WESTMINSTER ST,05/14/2024 11:13:00 AM,5,2024,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,Central Station
2024-00036864,200 Block WESTMINSTER ST,05/14/2024 11:13:00 AM,5,2024,Larceny from Building,11-41-1,LARCENY/U $11000 - FROM BLD,1,Central Station
2024-00036370,0 Block CADILLAC DR,05/12/2024 06:46:00 PM,5,2024,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,JCortorreal
2024-00036370,0 Block CADILLAC DR,05/12/2024 06:46:00 PM,5,2024,RI Statute Violation,11-1-6,CONSPIRACY - ALL OTH OFFENSE,1,JCortorreal
2024-00060986,WATERPLACE PARK,07/26/2024 05:58:00 PM,7,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,CMain
2024-00060986,WATERPLACE PARK,07/26/2024 05:58:00 PM,7,2024,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,CMain
2024-00060986,WATERPLACE PARK,07/26/2024 05:58:00 PM,7,2024,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,CMain
2024-00068673,200 Block CHARLES ST,08/21/2024 12:00:00 PM,8,2024,"Fraud, Swindle",19-9-29,BANK FRAUD,1,YCaba
2024-00068715,700 Block BRANCH AVE,08/21/2024 02:22:00 PM,8,2024,Traffic Violation,31-27-4,"Reckless Driving, Drag Racing - Attempting to Elude",1,CHines
2024-00068715,700 Block BRANCH AVE,08/21/2024 02:22:00 PM,8,2024,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,CHines
2024-00078904,400 Block CHARLES ST,09/21/2024 08:18:00 PM,9,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,BMcKenna
2024-00079487,400 Block CHARLES ST,09/23/2024 04:05:00 PM,9,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,IQuinn
2024-00077137,400 Block CHARLES ST,09/16/2024 08:10:00 AM,9,2024,Tresspassing,11-44-26,WILLFUL TRESPASS,1,NULL
2024-00082832,400 Block CHARLES ST,10/04/2024 11:41:00 AM,10,2024,Tresspassing,11-44-26,WILLFUL TRESPASS,1,LOliveira
2024-00064059,400 Block CHARLES ST,08/06/2024 02:11:27 AM,8,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,HViruet
2024-00064059,400 Block CHARLES ST,08/06/2024 02:11:27 AM,8,2024,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,HViruet
2024-00056128,400 Block CHARLES ST,07/11/2024 10:23:00 AM,7,2024,Tresspassing,11-44-26,WILLFUL TRESPASS,1,JBenros
2024-00042936,400 Block CHARLES ST,06/01/2024 04:04:00 PM,6,2024,"Larceny, Other",11-41-1,LARCENY/O $11000 - ALL OTH LARCENY,1,WSherrill
2024-00056920,0 Block RICHMOND SQ,07/13/2024 02:16:00 PM,7,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $11000 - FROM MV,1,GPereira
2024-00085116,0 Block RICHMOND SQ,10/11/2024 06:58:00 PM,10,2024,Building Fire,Not Used,No violations,0,LPelaez
2024-00056875,100 Block CORLISS ST,07/13/2024 10:57:00 AM,7,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,LRamalho
2024-00058636,100 Block CORLISS ST,07/18/2024 11:52:00 PM,7,2024,Dispersals,Not Used,No violations,0,NColicci
2024-00044957,100 Block CORLISS ST,06/07/2024 04:25:27 PM,6,2024,Larceny from Building,11-41-1,LARCENY/O $11000 - FROM BLD,1,IQuinn
2024-00040753,0 Block HAGAN ST,05/26/2024 06:33:00 AM,5,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,LRamalho
2024-00085041,0 Block HAGAN ST,10/11/2024 02:47:41 PM,10,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,HMendez
2024-00082462,0 Block HAGAN ST,10/03/2024 08:04:00 AM,10,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JBenros
2024-00080269,0 Block HOUGHTON ST,09/26/2024 10:43:27 AM,9,2024,"Fraud, Credit Card",11-49-7,FRAUD USE CREDIT CARD-RECPT. MONEY/GOODS/SER,1,AMendez
2024-00066333,200 Block SILVER SPRING ST,08/13/2024 04:41:00 PM,8,2024,Bad Checks,19-9-25,FRAUDULENT CHECKS-(OVER $1000),1,Central Station
2024-00072389,200 Block PITMAN ST,09/01/2024 08:46:00 PM,9,2024,Request for Assistance,Not Used,No violations,0,MCastillo
2024-00070115,0 Block PLAINFIELD ST,08/25/2024 09:37:00 PM,8,2024,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,Central Station
2024-00067406,300 Block VALLEY ST,08/17/2024 08:51:00 AM,8,2024,Motor Vehicle Theft,11-41-1,LARCENY/U $11000 - AUTO THEFT,1,JBenros
2024-00058994,0 Block BRADFORD ST,07/20/2024 09:14:00 AM,7,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ASantos
2024-00069537,700 Block CRANSTON ST,08/24/2024 08:39:46 AM,8,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,HViruet
2024-00083791,700 Block CRANSTON ST,10/07/2024 07:39:00 AM,10,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,ASantos
2024-00086727,0 Block CATHEDRAL SQ,10/17/2024 11:47:00 AM,10,2024,"Assault, Aggravated",11-5-1,ASSAULT W/ INTENT TO COMMIT A FELONY,1,VTavarez
2024-00086727,0 Block CATHEDRAL SQ,10/17/2024 11:47:00 AM,10,2024,"Assault, Simple",11-5-10,ASSLT ON PERSONS OVER 60 CAUSING BODILY INJURY,1,VTavarez
2024-00075395,0 Block CATHEDRAL SQ,09/11/2024 02:40:12 AM,9,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,SHerr
2024-00075395,0 Block CATHEDRAL SQ,09/11/2024 02:40:12 AM,9,2024,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,SHerr
2024-00046613,0 Block CATHEDRAL SQ,06/12/2024 11:13:11 AM,6,2024,"Larceny, Other",11-44-2,MALICIOUS INJURY-BUILDINGS/FENCES/VEGATATION - ALL OTH LARCENY,1,AElie
2024-00075647,100 Block FOUNTAIN ST,09/11/2024 10:04:23 PM,9,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,MSullivan
2024-00079482,300 Block WASHINGTON ST,09/23/2024 04:04:11 PM,9,2024,Forgery,11-49.1-3,IDENTITY FRAUD - COUNTERFEIT/FORG,1,JDeschamps
2024-00079112,300 Block WASHINGTON ST,09/22/2024 01:10:41 PM,9,2024,"Larceny, Purse-snatching",11-41-7,LARCENY FROM THE PERSON - PURSE SNATCHING,1,ANuzzo
2024-00078762,300 Block WASHINGTON ST,09/21/2024 10:19:50 AM,9,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MSandorse
2024-00078112,300 Block WASHINGTON ST,09/19/2024 10:14:00 AM,9,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,ASantos
2024-00078191,300 Block WASHINGTON ST,09/19/2024 03:14:42 PM,9,2024,Request for Assistance,Not Used,No violations,0,GSans-Souci
2024-00078300,300 Block WASHINGTON ST,09/19/2024 09:58:00 PM,9,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,DSchiavulli
2024-00073188,300 Block WASHINGTON ST,09/04/2024 11:57:34 AM,9,2024,Weapons,Not Used,No violations,0,MRudolph
2024-00071927,300 Block WASHINGTON ST,08/31/2024 04:06:00 PM,8,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,LGarcia Colon
2024-00074606,300 Block WASHINGTON ST,09/08/2024 06:16:55 PM,9,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,JCortorreal
2024-00073830,300 Block WASHINGTON ST,09/06/2024 01:00:00 PM,9,2024,RI Statute Violation,12-29-4,VIOLATION -NO CONTACT ORDER,1,HVentura
2024-00086359,300 Block WASHINGTON ST,10/16/2024 01:29:00 AM,10,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,TRudd
2024-00085994,300 Block WASHINGTON ST,10/14/2024 07:32:00 PM,10,2024,Assistance Rendered,Not Used,No violations,0,Central Station
2024-00085989,300 Block WASHINGTON ST,10/14/2024 07:18:00 PM,10,2024,Request for Assistance,Not Used,No violations,0,Central Station
2024-00088202,300 Block WASHINGTON ST,10/21/2024 08:03:04 PM,10,2024,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,MLombardi
2024-00087174,300 Block WASHINGTON ST,10/18/2024 08:59:00 PM,10,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,KHeron
